districtid,dose1,dose2,monthid
AN_Nicobars,360,0,1
AN_Nicobars,387,304,2
AN_Nicobars,4893,227,3
AN_Nicobars,2713,1356,4
AN_Nicobars,429,19,5
AN_Nicobars,8724,4665,6
AN_Nicobars,4575,1539,7
AN_North and Middle Andaman,1113,0,1
AN_North and Middle Andaman,904,942,2
AN_North and Middle Andaman,13204,545,3
AN_North and Middle Andaman,14791,1725,4
AN_North and Middle Andaman,3629,80,5
AN_North and Middle Andaman,17273,20461,6
AN_North and Middle Andaman,17129,5528,7
AN_South Andaman,1567,0,1
AN_South Andaman,7118,1522,2
AN_South Andaman,20108,2401,3
AN_South Andaman,32532,5786,4
AN_South Andaman,12884,465,5
AN_South Andaman,34384,29158,6
AN_South Andaman,33992,20564,7
AP_Anantapur,15323,730,1
AP_Anantapur,37664,12739,2
AP_Anantapur,247138,19856,3
AP_Anantapur,145179,138488,4
AP_Anantapur,255680,31260,5
AP_Anantapur,331417,101799,6
AP_Anantapur,331973,292474,7
AP_Chittoor,30004,340,1
AP_Chittoor,51481,21464,2
AP_Chittoor,301198,29836,3
AP_Chittoor,142743,138756,4
AP_Chittoor,290964,46657,5
AP_Chittoor,344063,84497,6
AP_Chittoor,405138,319314,7
AP_East Godavari,40366,301,1
AP_East Godavari,57430,25601,2
AP_East Godavari,284349,39754,3
AP_East Godavari,117259,139769,4
AP_East Godavari,449305,49546,5
AP_East Godavari,459931,110817,6
AP_East Godavari,518850,186685,7
AP_Guntur,22279,1086,1
AP_Guntur,53718,17868,2
AP_Guntur,259840,33024,3
AP_Guntur,161797,112864,4
AP_Guntur,368959,65573,5
AP_Guntur,464820,115211,6
AP_Guntur,427122,246815,7
AP_Krishna,24659,525,1
AP_Krishna,47857,20469,2
AP_Krishna,289038,25617,3
AP_Krishna,133678,142162,4
AP_Krishna,440711,68656,5
AP_Krishna,375048,131110,6
AP_Krishna,445270,169050,7
AP_Kurnool,21404,507,1
AP_Kurnool,30493,15074,2
AP_Kurnool,238431,20149,3
AP_Kurnool,99301,117334,4
AP_Kurnool,261391,26473,5
AP_Kurnool,284107,73875,6
AP_Kurnool,307565,239216,7
AP_Prakasam,21893,137,1
AP_Prakasam,26572,10598,2
AP_Prakasam,220967,23417,3
AP_Prakasam,106198,107527,4
AP_Prakasam,290723,53990,5
AP_Prakasam,321230,62132,6
AP_Prakasam,244329,257990,7
AP_S.P.S. Nellore,32205,656,1
AP_S.P.S. Nellore,41369,23078,2
AP_S.P.S. Nellore,208389,34130,3
AP_S.P.S. Nellore,109506,117798,4
AP_S.P.S. Nellore,260743,25673,5
AP_S.P.S. Nellore,260949,148451,6
AP_S.P.S. Nellore,244915,178903,7
AP_Srikakulam,25982,713,1
AP_Srikakulam,31735,19604,2
AP_Srikakulam,180152,18037,3
AP_Srikakulam,79216,73897,4
AP_Srikakulam,273609,19623,5
AP_Srikakulam,263582,87996,6
AP_Srikakulam,174293,117102,7
AP_Visakhapatnam,28630,241,1
AP_Visakhapatnam,53082,23442,2
AP_Visakhapatnam,283951,31362,3
AP_Visakhapatnam,144540,127856,4
AP_Visakhapatnam,452250,49829,5
AP_Visakhapatnam,453246,109245,6
AP_Visakhapatnam,459875,281184,7
AP_Vizianagaram,14857,342,1
AP_Vizianagaram,22691,12208,2
AP_Vizianagaram,163208,14968,3
AP_Vizianagaram,64345,69226,4
AP_Vizianagaram,215990,14838,5
AP_Vizianagaram,223189,47235,6
AP_Vizianagaram,216806,61200,7
AP_West Godavari,20160,104,1
AP_West Godavari,47196,17098,2
AP_West Godavari,219748,34808,3
AP_West Godavari,104313,109868,4
AP_West Godavari,399994,55813,5
AP_West Godavari,451595,55349,6
AP_West Godavari,399541,158923,7
AP_Y.S.R. Kadapa,15747,552,1
AP_Y.S.R. Kadapa,34619,11892,2
AP_Y.S.R. Kadapa,227708,22896,3
AP_Y.S.R. Kadapa,93036,115574,4
AP_Y.S.R. Kadapa,248488,31663,5
AP_Y.S.R. Kadapa,274484,85325,6
AP_Y.S.R. Kadapa,149352,127378,7
AR_Anjaw,387,0,1
AR_Anjaw,391,288,2
AR_Anjaw,971,325,3
AR_Anjaw,1253,625,4
AR_Anjaw,2368,21,5
AR_Anjaw,4370,334,6
AR_Anjaw,1182,956,7
AR_Changlang,968,0,1
AR_Changlang,2114,813,2
AR_Changlang,7617,1387,3
AR_Changlang,8032,2038,4
AR_Changlang,11005,396,5
AR_Changlang,35250,4923,6
AR_Changlang,10604,7349,7
AR_East Kameng,260,0,1
AR_East Kameng,676,256,2
AR_East Kameng,2351,516,3
AR_East Kameng,3264,1049,4
AR_East Kameng,5195,38,5
AR_East Kameng,5214,1392,6
AR_East Kameng,3461,2932,7
AR_East Siang,919,76,1
AR_East Siang,1647,891,2
AR_East Siang,8343,1464,3
AR_East Siang,6560,6033,4
AR_East Siang,5425,35,5
AR_East Siang,25956,3016,6
AR_East Siang,2471,4565,7
AR_Kamle,168,0,1
AR_Kamle,91,142,2
AR_Kamle,485,107,3
AR_Kamle,969,286,4
AR_Kamle,888,2,5
AR_Kamle,2143,269,6
AR_Kamle,1455,731,7
AR_Kra Daadi,205,0,1
AR_Kra Daadi,177,218,2
AR_Kra Daadi,764,83,3
AR_Kra Daadi,664,416,4
AR_Kra Daadi,1527,12,5
AR_Kra Daadi,1749,182,6
AR_Kra Daadi,751,830,7
AR_Kurung Kumey,467,0,1
AR_Kurung Kumey,310,276,2
AR_Kurung Kumey,2004,231,3
AR_Kurung Kumey,914,1415,4
AR_Kurung Kumey,1069,27,5
AR_Kurung Kumey,2270,350,6
AR_Kurung Kumey,1540,548,7
AR_Lepa Rada,602,0,1
AR_Lepa Rada,1070,550,2
AR_Lepa Rada,1875,638,3
AR_Lepa Rada,1326,1325,4
AR_Lepa Rada,1613,8,5
AR_Lepa Rada,5398,1183,6
AR_Lepa Rada,1072,1255,7
AR_Lohit,534,0,1
AR_Lohit,1354,381,2
AR_Lohit,2120,634,3
AR_Lohit,3111,968,4
AR_Lohit,3895,55,5
AR_Lohit,12351,1767,6
AR_Lohit,4521,2905,7
AR_Longding,396,61,1
AR_Longding,1161,187,2
AR_Longding,849,686,3
AR_Longding,1758,614,4
AR_Longding,3758,140,5
AR_Longding,7626,370,6
AR_Longding,2421,1207,7
AR_Lower Dibang Valley,225,0,1
AR_Lower Dibang Valley,1252,278,2
AR_Lower Dibang Valley,3590,992,3
AR_Lower Dibang Valley,3807,1267,4
AR_Lower Dibang Valley,3541,45,5
AR_Lower Dibang Valley,13632,2974,6
AR_Lower Dibang Valley,3679,2546,7
AR_Lower Siang,179,0,1
AR_Lower Siang,550,288,2
AR_Lower Siang,1033,361,3
AR_Lower Siang,2711,438,4
AR_Lower Siang,1882,18,5
AR_Lower Siang,5832,1189,6
AR_Lower Siang,3505,2273,7
AR_Lower Subansiri,554,79,1
AR_Lower Subansiri,1151,616,2
AR_Lower Subansiri,3553,853,3
AR_Lower Subansiri,2947,2505,4
AR_Lower Subansiri,5136,12,5
AR_Lower Subansiri,8186,1297,6
AR_Lower Subansiri,3285,2789,7
AR_Namsai,742,0,1
AR_Namsai,2253,849,2
AR_Namsai,3779,1201,3
AR_Namsai,7938,2457,4
AR_Namsai,7459,33,5
AR_Namsai,29601,2311,6
AR_Namsai,6074,5756,7
AR_Pakke Kessang,248,0,1
AR_Pakke Kessang,457,163,2
AR_Pakke Kessang,1089,363,3
AR_Pakke Kessang,1783,817,4
AR_Pakke Kessang,1086,50,5
AR_Pakke Kessang,1590,527,6
AR_Pakke Kessang,1415,1064,7
AR_Papum Pare,1895,74,1
AR_Papum Pare,4740,1626,2
AR_Papum Pare,11726,3361,3
AR_Papum Pare,22346,7021,4
AR_Papum Pare,35305,123,5
AR_Papum Pare,32463,8361,6
AR_Papum Pare,14782,17755,7
AR_Shi Yomi,225,0,1
AR_Shi Yomi,283,250,2
AR_Shi Yomi,1046,267,3
AR_Shi Yomi,736,909,4
AR_Shi Yomi,699,9,5
AR_Shi Yomi,2935,178,6
AR_Shi Yomi,795,685,7
AR_Siang,263,0,1
AR_Siang,383,192,2
AR_Siang,2614,245,3
AR_Siang,1413,1027,4
AR_Siang,1101,113,5
AR_Siang,6393,1535,6
AR_Siang,1710,1161,7
AR_Tawang,791,0,1
AR_Tawang,2239,831,2
AR_Tawang,3418,1206,3
AR_Tawang,3209,2195,4
AR_Tawang,6017,31,5
AR_Tawang,9483,1910,6
AR_Tawang,2518,2993,7
AR_Tirap,634,0,1
AR_Tirap,1783,531,2
AR_Tirap,1255,1133,3
AR_Tirap,1993,872,4
AR_Tirap,5539,68,5
AR_Tirap,14592,852,6
AR_Tirap,3219,2177,7
AR_Upper Dibang Valley,158,0,1
AR_Upper Dibang Valley,567,162,2
AR_Upper Dibang Valley,565,338,3
AR_Upper Dibang Valley,321,376,4
AR_Upper Dibang Valley,425,11,5
AR_Upper Dibang Valley,1440,138,6
AR_Upper Dibang Valley,439,209,7
AR_Upper Siang,529,94,1
AR_Upper Siang,452,381,2
AR_Upper Siang,3282,417,3
AR_Upper Siang,2735,1772,4
AR_Upper Siang,2591,13,5
AR_Upper Siang,5359,1642,6
AR_Upper Siang,2527,2039,7
AR_Upper Subansiri,240,0,1
AR_Upper Subansiri,528,142,2
AR_Upper Subansiri,2797,524,3
AR_Upper Subansiri,5068,2408,4
AR_Upper Subansiri,5495,58,5
AR_Upper Subansiri,4112,867,6
AR_Upper Subansiri,4859,3268,7
AR_West Kameng,679,0,1
