districtid,wave1 − weekid,wave2 − weekid,wave1 − monthid,wave2 − monthid
AN_Andaman and Nicobar Islands,28,106,4,13
AP_Anantapur,26,106,4,13
AP_Chittoor,27,105,4,13
AP_East Godavari,26,107,4,13
AP_Foreign Evacuees,10,-1,1,-1
AP_Guntur,27,106,4,13
AP_Krishna,28,104,4,13
AP_Kurnool,26,107,4,13
AP_Other State,17,-1,2,-1
AP_Prakasam,37,107,5,13
AP_S.P.S. Nellore,27,105,4,13
AP_Srikakulam,29,103,4,13
AP_Andhra Pradesh,-1,-1,-1,-1
AP_Visakhapatnam,26,107,4,13
AP_Vizianagaram,26,104,4,13
AP_West Godavari,40,106,4,13
AP_Y.S.R. Kadapa,28,109,4,13
AR_Anjaw,96,105,3,12
AR_Capital Complex,-1,-1,-1,-1
AR_Changlang,18,103,5,12
AR_East Kameng,20,106,3,13
AR_East Siang,-1,103,4,-1
AR_Kamle,-1,101,8,-1
AR_Kra Daadi,35,107,5,13
AR_Kurung Kumey,34,112,4,13
AR_Lepa Rada,37,104,8,-1
AR_Lohit,-1,109,9,-1
AR_Longding,28,116,4,13
AR_Lower Dibang Valley,95,-1,4,12
AR_Lower Siang,97,-1,3,12
AR_Lower Subansiri,96,-1,4,12
AR_Namsai,-1,103,3,12
AR_Pakke Kessang,32,106,8,-1
AR_Papum Pare,98,-1,5,12
AR_Shi Yomi,46,115,6,-1
AR_Siang,26,104,5,-1
AR_Tawang,-1,102,4,12
AR_Tirap,37,-1,5,-1
AR_Upper Dibang Valley,100,110,5,12
AR_Upper Siang,41,102,4,13
AR_Upper Subansiri,23,101,5,13
AR_West Kameng,21,116,6,-1
AR_West Siang,37,-1,9,-1
AS_Dibrugarh,-1,-1,-1,-1
AS_Udalguri,-1,-1,-1,-1
AS_Assam,37,104,4,13
BR_Araria,31,106,4,13
BR_Arwal,26,104,4,13
BR_Aurangabad,27,103,4,13
BR_Banka,29,105,4,13
BR_Begusarai,31,104,4,13
BR_Bhagalpur,22,101,4,12
BR_Bhojpur,30,103,4,12
BR_Buxar,30,103,4,13
BR_Darbhanga,31,104,4,13
BR_East Champaran,30,103,4,13
BR_Gaya,24,102,4,12
BR_Gopalganj,30,106,4,13
BR_Jamui,22,101,4,13
BR_Jehanabad,31,101,4,12
BR_Kaimur,27,103,4,13
BR_Katihar,28,107,4,13
BR_Khagaria,25,101,4,13
BR_Kishanganj,24,104,4,13
BR_Lakhisarai,30,103,4,13
BR_Madhepura,31,103,4,13
BR_Madhubani,31,105,4,13
BR_Munger,30,103,4,13
BR_Muzaffarpur,99,-1,4,13
BR_Nalanda,23,105,4,13
BR_Nawada,22,103,3,13
BR_Patna,28,102,4,13
BR_Purnia,26,103,4,13
BR_Rohtas,25,103,4,13
BR_Saharsa,28,100,4,13
BR_Samastipur,28,103,4,13
BR_Saran,26,103,4,13
BR_Sheikhpura,30,106,4,13
BR_Sheohar,29,103,4,13
BR_Sitamarhi,28,105,4,13
BR_Siwan,23,103,4,13
BR_Supaul,26,102,4,13
BR_Vaishali,30,107,4,13
BR_West Champaran,30,105,4,13
CH_Chandigarh,94,105,5,13
CT_Balod,95,-1,5,12
CT_Baloda Bazar,94,103,4,11
CT_Balrampur,98,-1,4,12
CT_Bametara,94,-1,6,11
CT_Bastar,93,-1,4,11
CT_Bijapur,34,109,4,13
CT_Bilaspur,38,101,5,12
CT_Dakshin Bastar Dantewada,94,-1,4,11
CT_Dhamtari,94,-1,4,11
CT_Durg,99,-1,5,12
CT_Gariaband,95,-1,4,11
CT_Gaurela Pendra Marwahi,97,-1,7,12
CT_Janjgir Champa,96,-1,4,12
CT_Jashpur,94,-1,4,12
CT_Kabeerdham,98,-1,5,12
CT_Kondagaon,41,100,5,12
CT_Korba,60,101,6,12
CT_Koriya,35,102,4,12
CT_Mahasamund,93,-1,4,11
CT_Mungeli,95,-1,4,12
CT_Narayanpur,36,100,2,12
CT_Other State,91,-1,6,11
CT_Raigarh,98,-1,4,12
CT_Raipur,37,100,5,12
CT_Rajnandgaon,99,-1,5,12
CT_Sukma,43,111,4,12
CT_Surajpur,41,108,5,13
CT_Surguja,96,-1,4,12
CT_Chhattisgarh,-1,-1,-1,-1
CT_Uttar Bastar Kanker,98,-1,4,12
DN_Dadra and Nagar Haveli,23,101,4,12
DN_Daman,92,-1,2,11
DN_Diu,90,-1,3,12
DL_Delhi,39,101,7,12
GA_Goa,31,105,4,13
GJ_Ahmedabad,1,104,1,13
GJ_Amreli,27,105,4,13
GJ_Anand,61,104,8,13
GJ_Aravalli,54,107,5,13
GJ_Banaskantha,57,103,7,13
GJ_Bharuch,33,102,3,13
GJ_Bhavnagar,22,106,3,13
GJ_Botad,29,102,4,13
GJ_Chhota Udaipur,36,105,5,13
GJ_Dahod,25,105,4,13
GJ_Dang,74,105,9,12
GJ_Devbhumi Dwarka,40,107,6,13
GJ_Gandhinagar,60,104,8,13
GJ_Gir Somnath,31,107,4,13
GJ_Jamnagar,32,103,4,13
GJ_Junagadh,19,106,3,13
GJ_Kheda,62,103,3,13
GJ_Kutch,46,104,4,13
GJ_Mahisagar,61,105,3,13
GJ_Mehsana,57,103,4,13
GJ_Morbi,32,102,5,12
GJ_Narmada,25,102,7,13
GJ_Navsari,18,102,3,13
GJ_Other State,24,-1,2,-1
GJ_Panchmahal,33,108,4,13
GJ_Patan,56,105,7,12
GJ_Porbandar,31,110,4,13
GJ_Rajkot,37,100,4,12
GJ_Sabarkantha,61,104,8,13
GJ_Surat,21,103,3,12
GJ_Surendranagar,22,105,4,13
GJ_Tapi,44,102,7,13
GJ_Vadodara,34,106,6,13
GJ_Valsad,19,104,3,13
HR_Ambala,39,107,5,13
HR_Bhiwani,57,108,7,13
HR_Charkhi Dadri,41,108,5,13
HR_Faridabad,59,104,7,13
HR_Fatehabad,41,102,5,13
HR_Foreign Evacuees,1,-1,-1,-1
HR_Gurugram,56,105,7,13
HR_Hisar,55,103,7,13
HR_Italians,-1,-1,-1,-1
HR_Jhajjar,39,107,5,13
HR_Jind,37,105,5,13
HR_Kaithal,36,105,5,13
HR_Karnal,38,105,5,13
HR_Kurukshetra,39,103,5,12
HR_Mahendragarh,29,104,5,13
HR_Nuh,38,107,3,13
HR_Palwal,41,106,2,13
HR_Panchkula,37,102,5,12
HR_Panipat,39,104,5,13
HR_Rewari,61,104,7,13
HR_Rohtak,54,107,5,13
HR_Sirsa,40,106,5,13
HR_Sonipat,35,102,5,13
HR_Haryana,-1,-1,-1,-1
HR_Yamunanagar,33,105,5,13
HP_Bilaspur,58,103,5,13
HP_Chamba,56,109,7,13
HP_Hamirpur,61,108,7,13
HP_Kangra,62,108,5,13
HP_Kinnaur,96,-1,6,12
HP_Kullu,97,-1,6,12
HP_Lahaul and Spiti,83,-1,10,-1
HP_Mandi,55,106,7,13
HP_Shimla,54,104,7,13
HP_Sirmaur,25,106,5,13
HP_Solan,40,107,5,13
HP_Una,95,108,5,13
JK_Anantnag,39,107,5,13
JK_Bandipora,40,106,4,13
JK_Baramulla,39,107,6,13
JK_Budgam,40,108,5,13
JK_Doda,35,103,4,12
JK_Ganderbal,32,108,4,13
JK_Jammu,38,103,5,13
JK_Kathua,41,108,5,13
JK_Kishtwar,40,108,5,13
JK_Kulgam,25,108,2,13
JK_Kupwara,39,105,5,13
JK_Pulwama,25,107,4,13
JK_Punch,34,104,4,12
JK_Rajouri,41,108,5,13
JK_Ramban,41,111,2,13
JK_Reasi,-1,102,4,12
JK_Samba,42,106,5,13
JK_Shopiyan,12,108,2,13
JK_Srinagar,23,105,3,13
JK_Udhampur,39,107,5,13
JH_Bokaro,36,107,5,13
JH_Chatra,99,-1,4,12
JH_Deoghar,27,104,4,13
JH_Dhanbad,34,103,5,13
JH_Dumka,98,-1,5,12
JH_East Singhbhum,98,-1,4,12
JH_Garhwa,35,109,4,13
JH_Giridih,27,106,4,13
JH_Godda,27,102,5,12
JH_Gumla,98,-1,4,12
JH_Hazaribagh,35,103,5,13
JH_Jamtara,55,104,6,13
JH_Khunti,94,-1,3,12
JH_Koderma,36,103,4,12
JH_Latehar,28,102,4,13
JH_Lohardaga,98,-1,3,12
JH_Pakur,89,100,2,12
JH_Palamu,26,104,4,13
JH_Ramgarh,98,-1,4,12
JH_Ranchi,37,105,4,12
JH_Sahibganj,91,-1,3,11
JH_Saraikela-Kharsawan,97,-1,4,12
JH_Simdega,12,102,4,13
JH_West Singhbhum,96,-1,4,12
KA_Bagalkote,28,107,4,13
KA_Ballari,26,108,4,13
KA_Belagavi,26,110,4,13
KA_Bengaluru Rural,50,106,4,13
KA_Bengaluru Urban,47,105,6,13
KA_Bidar,29,101,4,12
KA_Chamarajanagara,97,-1,3,12
KA_Chikkaballapura,45,105,4,13
KA_Chikkamagaluru,31,100,4,12
KA_Chitradurga,47,111,5,13
KA_Dakshina Kannada,40,107,5,13
KA_Davanagere,32,111,4,13
KA_Dharwad,24,106,4,13
KA_Gadag,36,110,4,13
KA_Hassan,41,103,4,13
KA_Haveri,38,104,5,13
KA_Kalaburagi,26,108,4,13
KA_Kodagu,-1,105,6,13
KA_Kolar,22,106,4,13
KA_Koppal,37,100,3,12
KA_Mandya,37,106,4,13
KA_Mysuru,44,106,5,13
KA_Other State,10,-1,2,-1
KA_Raichur,99,-1,3,12
KA_Ramanagara,99,-1,3,12
KA_Shivamogga,29,102,5,13
KA_Tumakuru,36,108,5,13
KA_Udupi,30,107,4,13
KA_Uttara Kannada,38,107,5,13
KA_Vijayapura,46,103,4,13
KA_Yadgir,29,104,4,13
KL_Alappuzha,45,106,6,13
KL_Ernakulam,45,104,6,13
KL_Idukki,74,104,9,13
KL_Kannur,45,104,6,13
KL_Kasaragod,-1,107,6,13
KL_Kollam,46,107,6,13
KL_Kottayam,45,103,6,13
KL_Kozhikode,46,105,6,13
KL_Malappuram,51,105,6,13
KL_Palakkad,45,106,6,13
KL_Pathanamthitta,71,104,9,13
KL_Thiruvananthapuram,44,105,6,13
KL_Thrissur,46,105,6,13
KL_Wayanad,65,108,8,13
LA_Kargil,14,106,2,13
LA_Leh,46,101,6,12
LD_Lakshadweep,35,-1,4,-1
MP_Agar Malwa,42,101,5,12
MP_Alirajpur,36,103,5,12
MP_Anuppur,41,101,6,13
MP_Ashoknagar,59,101,5,12
MP_Balaghat,94,-1,4,11
MP_Barwani,27,100,4,12
MP_Betul,40,102,5,13
MP_Bhind,99,-1,3,13
MP_Bhopal,26,108,8,13
MP_Burhanpur,6,108,1,11
MP_Chhatarpur,95,-1,4,11
MP_Chhindwara,99,-1,5,12
MP_Damoh,36,102,4,12
MP_Datia,98,-1,3,12
MP_Dewas,45,110,5,12
MP_Dhar,41,104,5,13
MP_Dindori,41,108,5,12
MP_Guna,98,-1,5,12
MP_Gwalior,37,102,5,13
MP_Harda,45,108,5,13
MP_Hoshangabad,39,102,5,13
MP_Indore,61,108,8,13
MP_Jabalpur,38,102,5,12
MP_Jhabua,32,101,5,12
MP_Katni,92,-1,3,11
MP_Khandwa,93,-1,5,12
MP_Khargone,39,108,5,13
MP_Mandla,99,-1,4,12
MP_Mandsaur,38,107,5,13
MP_Morena,19,103,3,13
MP_Narsinghpur,31,100,4,12
MP_Neemuch,39,100,5,13
MP_Niwari,89,-1,4,12
MP_Other Region,-1,-1,-1,-1
MP_Panna,39,100,4,13
MP_Raisen,24,101,5,13
