,districtid,vaccineratio
0,AN_Nicobars,inf
1,AN_North and Middle Andaman,inf
2,AN_South Andaman,202481.000
3,AP_Anantapur,5.985
4,AP_Chittoor,4.761
5,AP_East Godavari,6.160
6,AP_Guntur,3.968
7,AP_Krishna,4.225
8,AP_Kurnool,5.534
9,AP_Prakasam,4.199
10,AP_S.P.S. Nellore,5.345
11,AP_Srikakulam,6.978
12,AP_Visakhapatnam,4.740
13,AP_Vizianagaram,6.649
14,AP_West Godavari,4.747
15,AP_Y.S.R. Kadapa,7.569
16,AR_Anjaw,inf
17,AR_Changlang,inf
18,AR_East Kameng,inf
19,AR_East Siang,inf
20,AR_Kamle,inf
21,AR_Kra Daadi,inf
22,AR_Kurung Kumey,inf
23,AR_Lepa Rada,1119.688
24,AR_Lohit,2162.250
25,AR_Longding,5308.500
26,AR_Lower Dibang Valley,37828.000
27,AR_Lower Siang,inf
28,AR_Lower Subansiri,32963.000
29,AR_Namsai,35226.500
30,AR_Pakke Kessang,inf
31,AR_Papum Pare,5212.194
32,AR_Shi Yomi,inf
33,AR_Siang,inf
34,AR_Tawang,12280.333
35,AR_Tirap,2309.867
36,AR_Upper Dibang Valley,inf
37,AR_Upper Siang,inf
38,AR_Upper Subansiri,inf
39,AR_West Kameng,784.716
40,AR_West Siang,5620.375
41,AS_Baksa,11.675
42,AS_Barpeta,0.818
43,AS_Biswanath,12.216
44,AS_Bongaigaon,15.814
45,AS_Cachar,6.434
46,AS_Charaideo,18.212
47,AS_Chirang,8.427
48,AS_Darrang,13.708
49,AS_Dhemaji,7.591
50,AS_Dhubri,26.015
51,AS_Dibrugarh,10.516
52,AS_Dima Hasao,6.966
53,AS_Goalpara,19.284
54,AS_Golaghat,8.342
55,AS_Hailakandi,9.651
56,AS_Hojai,4.182
57,AS_Jorhat,11.632
58,AS_Kamrup,10.336
59,AS_Kamrup Metropolitan,6.659
60,AS_Karbi Anglong,8.943
61,AS_Karimganj,11.070
62,AS_Kokrajhar,17.366
63,AS_Lakhimpur,12.639
64,AS_Majuli,14.406
65,AS_Morigaon,15.126
66,AS_Nagaon,11.725
67,AS_Nalbari,18.731
68,AS_Sivasagar,11.497
69,AS_Sonitpur,1.394
70,AS_South Salmara Mankachar,12.509
71,AS_Tinsukia,25.941
72,AS_Udalguri,28.869
73,AS_West Karbi Anglong,14.126
74,BR_Araria,6708.410
75,BR_Arwal,20203.167
76,BR_Aurangabad,33.226
77,BR_Banka,5.469
78,BR_Begusarai,8608.906
79,BR_Bhagalpur,11.548
80,BR_Bhojpur,4797.455
81,BR_Buxar,13.520
82,BR_Darbhanga,6.500
83,BR_East Champaran,4.536
84,BR_Gaya,4.721
85,BR_Gopalganj,30996.650
86,BR_Jamui,6174.708
87,BR_Jehanabad,33.088
88,BR_Kaimur,22893.765
89,BR_Katihar,6693.439
90,BR_Khagaria,70588.833
91,BR_Kishanganj,20352.789
92,BR_Lakhisarai,6537.564
93,BR_Madhepura,23043.143
94,BR_Madhubani,6.727
95,BR_Munger,4293.413
96,BR_Muzaffarpur,15.206
97,BR_Nalanda,43.671
98,BR_Nawada,38.309
99,BR_Patna,0.930
100,BR_Purnia,4.938
101,BR_Rohtas,30.478
102,BR_Saharsa,29604.882
103,BR_Samastipur,57.171
104,BR_Saran,6.030
105,BR_Sheikhpura,39276.800
106,BR_Sheohar,34543.167
107,BR_Sitamarhi,28129.267
108,BR_Siwan,11.320
109,BR_Supaul,23.977
110,BR_Vaishali,17.161
111,BR_West Champaran,18963.688
112,CH_Chandigarh,214.974
113,CT_Balod,10.368
114,CT_Baloda Bazar,9.606
115,CT_Balrampur,11.715
116,CT_Bametara,8.421
117,CT_Bastar,9.515
118,CT_Bijapur,10.246
119,CT_Bilaspur,11.245
120,CT_Dakshin Bastar Dantewada,8.250
121,CT_Dhamtari,9.660
122,CT_Durg,7.572
