districtid,dose1,dose2,weekid
AN_Nicobars,206,0,1
AN_Nicobars,78,0,2
AN_Nicobars,59,0,3
AN_Nicobars,17,0,4
AN_Nicobars,36,40,5
AN_Nicobars,171,204,6
AN_Nicobars,81,6,7
AN_Nicobars,99,54,8
AN_Nicobars,395,7,9
AN_Nicobars,626,85,10
AN_Nicobars,457,14,11
AN_Nicobars,1682,85,12
AN_Nicobars,2604,48,13
AN_Nicobars,1292,123,14
AN_Nicobars,356,227,15
AN_Nicobars,161,751,16
AN_Nicobars,39,261,17
AN_Nicobars,119,0,18
AN_Nicobars,161,0,19
AN_Nicobars,10,1,20
AN_Nicobars,71,0,21
AN_Nicobars,1192,1,22
AN_Nicobars,3719,51,23
AN_Nicobars,2059,1509,24
AN_Nicobars,433,2375,25
AN_Nicobars,2646,1131,26
AN_Nicobars,1636,653,27
AN_Nicobars,1048,286,28
AN_Nicobars,465,85,29
AN_Nicobars,163,113,30
AN_North and Middle Andaman,390,0,1
AN_North and Middle Andaman,599,0,2
AN_North and Middle Andaman,123,0,3
AN_North and Middle Andaman,1,0,4
AN_North and Middle Andaman,43,367,5
AN_North and Middle Andaman,280,483,6
AN_North and Middle Andaman,391,42,7
AN_North and Middle Andaman,190,50,8
AN_North and Middle Andaman,499,33,9
AN_North and Middle Andaman,329,124,10
AN_North and Middle Andaman,982,72,11
AN_North and Middle Andaman,3277,148,12
AN_North and Middle Andaman,15367,318,13
AN_North and Middle Andaman,5847,330,14
AN_North and Middle Andaman,1196,380,15
AN_North and Middle Andaman,276,510,16
AN_North and Middle Andaman,260,411,17
AN_North and Middle Andaman,935,12,18
AN_North and Middle Andaman,1089,2,19
AN_North and Middle Andaman,357,7,20
AN_North and Middle Andaman,901,2,21
AN_North and Middle Andaman,1330,1,22
AN_North and Middle Andaman,5035,152,23
AN_North and Middle Andaman,5541,2730,24
AN_North and Middle Andaman,1452,13236,25
AN_North and Middle Andaman,4895,6202,26
AN_North and Middle Andaman,5142,1787,27
AN_North and Middle Andaman,6386,823,28
AN_North and Middle Andaman,279,360,29
AN_North and Middle Andaman,4651,699,30
AN_South Andaman,324,0,1
AN_South Andaman,463,0,2
AN_South Andaman,538,0,3
AN_South Andaman,242,0,4
AN_South Andaman,1588,539,5
AN_South Andaman,871,327,6
AN_South Andaman,1787,202,7
AN_South Andaman,2816,426,8
AN_South Andaman,962,831,9
AN_South Andaman,1001,1260,10
AN_South Andaman,1354,57,11
AN_South Andaman,6906,114,12
AN_South Andaman,19617,632,13
AN_South Andaman,12206,2276,14
AN_South Andaman,5654,1184,15
AN_South Andaman,3200,1180,16
AN_South Andaman,2120,929,17
AN_South Andaman,2493,14,18
AN_South Andaman,3462,8,19
AN_South Andaman,3287,49,20
AN_South Andaman,2766,127,21
AN_South Andaman,2971,152,22
AN_South Andaman,13373,592,23
AN_South Andaman,8401,4233,24
AN_South Andaman,4881,16103,25
AN_South Andaman,7036,13378,26
AN_South Andaman,5267,6839,27
AN_South Andaman,7267,3964,28
AN_South Andaman,6858,2254,29
AN_South Andaman,12874,2226,30
AP_Anantapur,4089,0,1
AP_Anantapur,3115,0,2
AP_Anantapur,5029,0,3
AP_Anantapur,3090,730,4
AP_Anantapur,7823,6535,5
AP_Anantapur,12487,2936,6
AP_Anantapur,5747,1603,7
AP_Anantapur,11607,1665,8
AP_Anantapur,36732,2275,9
AP_Anantapur,76134,8658,10
AP_Anantapur,41180,2254,11
AP_Anantapur,56584,3931,12
AP_Anantapur,36604,2764,13
AP_Anantapur,63009,33895,14
AP_Anantapur,49088,38962,15
AP_Anantapur,28427,54745,16
AP_Anantapur,4609,11140,17
AP_Anantapur,5383,5770,18
AP_Anantapur,117444,7162,19
