node1,node2
HP_Lahaul and Spiti,LA_Leh
HP_Lahaul and Spiti,HP_Kinnaur
HP_Lahaul and Spiti,HP_Chamba
HP_Lahaul and Spiti,HP_Kangra
HP_Lahaul and Spiti,JK_Kishtwar
HP_Lahaul and Spiti,LA_Kargil
HP_Lahaul and Spiti,HP_Kullu
HP_Kinnaur,HP_Kullu
HP_Kinnaur,UT_Uttarkashi
HP_Kinnaur,HP_Shimla
HP_Kullu,HP_Shimla
HP_Kullu,HP_Kangra
HP_Kullu,HP_Mandi
HP_Chamba,HP_Kangra
HP_Chamba,JK_Kishtwar
HP_Chamba,PB_Pathankot
HP_Chamba,JK_Doda
HP_Chamba,JK_Kathua
HP_Kangra,PB_Hoshiarpur
HP_Kangra,HP_Una
HP_Kangra,PB_Gurdaspur
HP_Kangra,PB_Pathankot
HP_Kangra,HP_Mandi
HP_Kangra,HP_Hamirpur
LA_Leh,LA_Kargil
LA_Kargil,JK_Anantnag
LA_Kargil,JK_Kishtwar
LA_Kargil,JK_Ganderbal
LA_Kargil,JK_Bandipora
JK_Kishtwar,JK_Anantnag
JK_Kishtwar,JK_Doda
HP_Shimla,UT_Uttarkashi
HP_Shimla,HP_Sirmaur
HP_Shimla,UT_Dehradun
HP_Shimla,HP_Solan
HP_Shimla,HP_Mandi
UT_Uttarkashi,UT_Tehri Garhwal
UT_Uttarkashi,UT_Chamoli
UT_Uttarkashi,UT_Dehradun
UT_Uttarkashi,UT_Rudraprayag
HP_Mandi,HP_Solan
HP_Mandi,HP_Bilaspur
HP_Mandi,HP_Hamirpur
JK_Kathua,JK_Udhampur
JK_Kathua,JK_Samba
JK_Kathua,JK_Doda
JK_Kathua,PB_Pathankot
PB_Pathankot,PB_Gurdaspur
JK_Doda,JK_Anantnag
JK_Doda,JK_Udhampur
JK_Doda,JK_Ramban
HP_Una,PB_Rupnagar
HP_Una,PB_Hoshiarpur
HP_Una,HP_Bilaspur
HP_Una,HP_Hamirpur
HP_Hamirpur,HP_Bilaspur
PB_Gurdaspur,PB_Kapurthala
PB_Gurdaspur,PB_Amritsar
PB_Gurdaspur,PB_Hoshiarpur
PB_Hoshiarpur,PB_Kapurthala
PB_Hoshiarpur,PB_Rupnagar
PB_Hoshiarpur,PB_Jalandhar
PB_Hoshiarpur,PB_Shahid Bhagat Singh Nagar
