districtid,cases,monthid
AN_Andaman and Nicobar Islands,33,1
AN_Andaman and Nicobar Islands,17,2
AN_Andaman and Nicobar Islands,190,3
AN_Andaman and Nicobar Islands,2620,4
AN_Andaman and Nicobar Islands,852,5
AN_Andaman and Nicobar Islands,495,6
AN_Andaman and Nicobar Islands,449,7
AN_Andaman and Nicobar Islands,240,8
AN_Andaman and Nicobar Islands,97,9
AN_Andaman and Nicobar Islands,23,10
AN_Andaman and Nicobar Islands,23,11
AN_Andaman and Nicobar Islands,530,12
AN_Andaman and Nicobar Islands,1275,13
AN_Andaman and Nicobar Islands,594,14
AN_Andaman and Nicobar Islands,87,15
AN_Andaman and Nicobar Islands,34,16
AP_Anantapur,136,1
AP_Anantapur,802,2
AP_Anantapur,6344,3
AP_Anantapur,27511,4
AP_Anantapur,19470,5
AP_Anantapur,9196,6
AP_Anantapur,3034,7
AP_Anantapur,703,8
AP_Anantapur,408,9
AP_Anantapur,120,10
AP_Anantapur,317,11
AP_Anantapur,6682,12
AP_Anantapur,53971,13
AP_Anantapur,23967,14
AP_Anantapur,3209,15
AP_Anantapur,1077,16
AP_Chittoor,208,1
AP_Chittoor,409,2
AP_Chittoor,5322,3
AP_Chittoor,23891,4
AP_Chittoor,26823,5
AP_Chittoor,19037,6
AP_Chittoor,7436,7
AP_Chittoor,2531,8
AP_Chittoor,1271,9
AP_Chittoor,416,10
AP_Chittoor,1152,11
AP_Chittoor,18542,12
AP_Chittoor,67972,13
AP_Chittoor,40674,14
AP_Chittoor,12821,15
AP_Chittoor,7892,16
AP_East Godavari,59,1
AP_East Godavari,647,2
AP_East Godavari,9332,3
AP_East Godavari,39207,4
AP_East Godavari,40802,5
AP_East Godavari,22614,6
AP_East Godavari,9067,7
AP_East Godavari,1668,8
AP_East Godavari,766,9
AP_East Godavari,251,10
AP_East Godavari,621,11
AP_East Godavari,8373,12
AP_East Godavari,72449,13
AP_East Godavari,51744,14
AP_East Godavari,17285,15
AP_East Godavari,9299,16
AP_Foreign Evacuees,352,1
AP_Foreign Evacuees,82,2
AP_Foreign Evacuees,0,3
AP_Foreign Evacuees,0,4
AP_Foreign Evacuees,0,5
AP_Foreign Evacuees,0,6
AP_Foreign Evacuees,0,7
AP_Foreign Evacuees,0,8
AP_Foreign Evacuees,0,9
AP_Foreign Evacuees,0,10
AP_Foreign Evacuees,0,11
AP_Foreign Evacuees,0,12
AP_Foreign Evacuees,0,13
AP_Foreign Evacuees,0,14
AP_Foreign Evacuees,0,15
AP_Guntur,426,1
AP_Guntur,426,2
AP_Guntur,7245,3
AP_Guntur,22295,4
AP_Guntur,20840,5
AP_Guntur,13140,6
AP_Guntur,7806,7
AP_Guntur,2203,8
AP_Guntur,1002,9
AP_Guntur,287,10
AP_Guntur,678,11
AP_Guntur,16377,12
AP_Guntur,50305,13
AP_Guntur,17352,14
AP_Guntur,6424,15
AP_Guntur,4727,16
AP_Krishna,396,1
AP_Krishna,700,2
AP_Krishna,3386,3
AP_Krishna,9393,4
AP_Krishna,11060,5
AP_Krishna,11511,6
AP_Krishna,8075,7
AP_Krishna,2845,8
AP_Krishna,1104,9
AP_Krishna,410,10
AP_Krishna,554,11
AP_Krishna,8113,12
AP_Krishna,25876,13
AP_Krishna,15997,14
AP_Krishna,7402,15
AP_Krishna,5794,16
AP_Kurnool,638,1
AP_Kurnool,769,2
AP_Kurnool,7294,3
AP_Kurnool,30134,4
AP_Kurnool,15885,5
AP_Kurnool,4376,6
AP_Kurnool,989,7
AP_Kurnool,423,8
AP_Kurnool,262,9
AP_Kurnool,90,10
AP_Kurnool,325,11
AP_Kurnool,9637,12
AP_Kurnool,37156,13
AP_Kurnool,13202,14
AP_Kurnool,1840,15
AP_Kurnool,669,16
AP_Other State,153,1
AP_Other State,1471,2
AP_Other State,837,3
AP_Other State,0,4
AP_Other State,0,5
AP_Other State,0,6
AP_Other State,0,7
AP_Other State,0,8
AP_Other State,0,9
AP_Other State,0,10
AP_Other State,0,11
AP_Other State,0,12
AP_Other State,0,13
AP_Other State,0,14
AP_Other State,0,15
AP_Other State,0,16
AP_Prakasam,67,1
AP_Prakasam,125,2
AP_Prakasam,2512,3
AP_Prakasam,13877,4
AP_Prakasam,27129,5
AP_Prakasam,14243,6
AP_Prakasam,3337,7
AP_Prakasam,671,8
AP_Prakasam,189,9
AP_Prakasam,50,10
AP_Prakasam,108,11
AP_Prakasam,5271,12
AP_Prakasam,32803,13
AP_Prakasam,18528,14
AP_Prakasam,8973,15
AP_Prakasam,4831,16
AP_S.P.S. Nellore,182,1
AP_S.P.S. Nellore,302,2
AP_S.P.S. Nellore,2964,3
AP_S.P.S. Nellore,18913,4
AP_S.P.S. Nellore,26802,5
AP_S.P.S. Nellore,9627,6
AP_S.P.S. Nellore,2381,7
AP_S.P.S. Nellore,804,8
AP_S.P.S. Nellore,306,9
AP_S.P.S. Nellore,165,10
AP_S.P.S. Nellore,203,11
AP_S.P.S. Nellore,9488,12
AP_S.P.S. Nellore,39648,13
AP_S.P.S. Nellore,14117,14
AP_S.P.S. Nellore,6620,15
AP_S.P.S. Nellore,6438,16
AP_Srikakulam,16,1
AP_Srikakulam,44,2
AP_Srikakulam,3515,3
