districtid,cases
AN_Andaman and Nicobar Islands,7559
AP_Anantapur,156947
AP_Andhra Pradesh,154
AP_Chittoor,236397
AP_East Godavari,284184
AP_Foreign Evacuees,434
AP_Guntur,171533
AP_Krishna,112616
AP_Kurnool,123689
AP_Other State,2461
AP_Prakasam,132714
AP_S.P.S. Nellore,138960
AP_Srikakulam,121706
AP_Visakhapatnam,154382
AP_Vizianagaram,82130
AP_West Godavari,173129
AP_Y.S.R. Kadapa,112060
AR_Anjaw,1023
AR_Capital Complex,0
AR_Changlang,3686
AR_East Kameng,1078
AR_East Siang,3022
AR_Kamle,493
AR_Kra Daadi,262
AR_Kurung Kumey,509
AR_Lepa Rada,828
AR_Lohit,2732
AR_Longding,733
AR_Lower Dibang Valley,2198
AR_Lower Siang,725
AR_Lower Subansiri,2759
AR_Namsai,1980
AR_Pakke Kessang,406
AR_Papum Pare,17644
AR_Shi Yomi,230
AR_Siang,403
AR_Tawang,2343
AR_Tirap,1016
AR_Upper Dibang Valley,298
AR_Upper Siang,943
AR_Upper Subansiri,1940
AR_West Kameng,3287
AR_West Siang,1770
AS_Assam,585134
AS_Dibrugarh,0
AS_Udalguri,0
BR_Araria,14966
BR_Arwal,7380
BR_Aurangabad,20011
BR_Banka,7379
BR_Begusarai,27184
BR_Bhagalpur,25830
BR_Bhojpur,10178
BR_Buxar,9248
BR_Darbhanga,10915
BR_East Champaran,19004
BR_Gaya,33943
BR_Gopalganj,16675
BR_Jamui,9414
BR_Jehanabad,10775
BR_Kaimur,4983
BR_Katihar,18134
BR_Khagaria,10057
BR_Kishanganj,10110
BR_Lakhisarai,7773
BR_Madhepura,12527
BR_Madhubani,18341
BR_Munger,15104
BR_Muzaffarpur,31389
BR_Nalanda,23429
BR_Nawada,10347
BR_Patna,146870
BR_Purnia,24418
BR_Rohtas,13966
BR_Saharsa,17601
BR_Samastipur,19999
BR_Saran,23271
BR_Sheikhpura,7692
BR_Sheohar,4397
BR_Sitamarhi,9177
BR_Siwan,15195
BR_Supaul,17210
BR_Vaishali,19817
BR_West Champaran,20887
CH_Chandigarh,65068
CT_Balod,27261
CT_Baloda Bazar,43024
CT_Balrampur,20288
CT_Bametara,19945
CT_Bastar,21001
CT_Bijapur,8285
CT_Bilaspur,65503
CT_Dakshin Bastar Dantewada,10765
CT_Dhamtari,27207
CT_Durg,96680
CT_Gariaband,19680
CT_Gaurela Pendra Marwahi,12006
CT_Janjgir Champa,57491
CT_Jashpur,26987
CT_Kabeerdham,22770
CT_Kondagaon,13082
CT_Korba,54665
CT_Koriya,26933
CT_Mahasamund,31336
CT_Mungeli,23898
CT_Narayanpur,4009
CT_Other State,768
CT_Raigarh,62502
CT_Raipur,157842
CT_Rajnandgaon,56015
CT_Sukma,7998
CT_Surajpur,29019
CT_Surguja,33656
CT_Uttar Bastar Kanker,23567
DL_Delhi,1437334
DN_Dadra and Nagar Haveli,5908
DN_Daman,3536
DN_Diu,1218
GA_Goa,173221
GJ_Ahmedabad,238078
GJ_Amreli,10807
GJ_Anand,9627
GJ_Aravalli,5186
GJ_Banaskantha,13631
GJ_Bharuch,11426
GJ_Bhavnagar,21422
GJ_Botad,2218
GJ_Chhota Udaipur,3395
GJ_Dahod,9945
GJ_Dang,864
GJ_Devbhumi Dwarka,4173
GJ_Gandhinagar,20743
GJ_Gir Somnath,8558
GJ_Jamnagar,34955
GJ_Junagadh,20477
GJ_Kheda,10422
GJ_Kutch,12588
GJ_Mahisagar,8192
GJ_Mehsana,24414
GJ_Morbi,6502
