stateid,wave1 − weekid,wave2 − weekid,wave1 − monthid,wave2 − monthid
Andaman and Nicobar Islands,28,106,4,13
Andhra Pradesh,26,106,4,13
Arunachal Pradesh,-1,113,6,13
Assam,37,104,4,13
Bihar,30,103,4,13
Chandigarh,94,105,5,13
Chhattisgarh,38,100,5,12
Dadra and Nagar Haveli and Daman and Diu,23,101,4,12
Delhi,39,101,7,12
Goa,31,105,4,13
Gujarat,1,103,3,13
Haryana,38,104,5,13
Himachal Pradesh,57,108,7,13
Jammu and Kashmir,39,107,5,13
Jharkhand,36,103,4,13
Karnataka,26,105,4,13
Kerala,45,104,6,13
Ladakh,14,101,2,12
Lakshadweep,35,-1,4,-1
Madhya Pradesh,40,102,5,13
Maharashtra,98,-1,5,12
Manipur,-1,108,6,13
Meghalaya,46,111,5,13
Mizoram,53,-1,7,13
Nagaland,22,101,3,12
Odisha,33,103,5,13
Puducherry,35,108,4,13
Punjab,33,108,5,13
Rajasthan,60,103,4,13
Sikkim,99,108,3,12
Tamil Nadu,19,110,3,13
Telangana,35,104,4,13
Tripura,38,111,5,13
Uttar Pradesh,27,102,4,12
Uttarakhand,41,104,5,13
West Bengal,-1,104,4,13
